Source_ID,Station_ID,Latitude,Longitude,Elevation,Station_Name,Station_State,Station_FIPS,Country,Data_Policy,WMO_ID
221,AFWA-024161,59.6170000,13.7330000,93.00, "MOLKOM" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024191,59.3000000,13.6670000,-999.00, "SOOKOJAN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024220,59.6170000,14.1830000,130.00, "ASPHYTTAN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024240,59.9500000,14.9500000,210.00, "STALLDALEN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024300,60.9170000,15.1170000,227.00, "BACKA" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024361,59.2330000,15.0500000,57.00, "OREBRO/EKEBY(DEAD)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024390,59.5330000,15.5830000,52.00, "FELLINGSBRO-FINNAKE" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024540,60.7500000,17.3500000,4.00, "UTVALNAS" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024711,60.5000000,18.8670000,23.00, "GRUNDKALLEN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024730,60.2830000,18.9170000,40.00, "UNDERSTEN (LGT-H)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024800,59.8500000,18.7330000,10.00, "NORRTALJE/VASBY" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-024940,64.4830000,21.5830000,36.00, "BJUROKLUBB (LGT-H)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025020,58.9000000,12.0330000,152.00, "DALS-ED" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025041,58.5670000,11.5500000,70.00, "SVARTEBORG" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025190,57.2670000,12.1170000,12.00, "RINGHALS (AUT)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025211,58.6330000,12.4330000,65.00, "ERIKSTAD" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025230,65.9830000,18.9330000,374.00, "ABRAUR" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025280,61.1670000,13.0170000,830.00, "TANDADALEN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025291,57.1170000,12.2670000,20.00, "VARBERG" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025331,58.3830000,13.2500000,120.00, "SKARA" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025361,57.7170000,13.0830000,259.00, "DALSJOFORS" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025411,58.9670000,14.9000000,144.00, "SNAVLUNDA" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025430,58.6500000,14.1330000,97.00, "FAGRE" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025511,57.7830000,14.1830000,99.00, "JONKOPING" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025531,57.9170000,14.0830000,176.00, "HABO" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025681,57.0670000,15.9670000,115.00, "ALLGUNNEN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025721,58.7830000,16.9000000,43.00, "NYKOPING/OXELOSUND" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025760,57.7170000,16.4670000,35.00, "GLADHAMMAR" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025761,57.8000000,16.5000000,35.00, "VASTERVIK" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025810,58.9500000,18.2670000,76.00, "UTO ISLAND" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025940,57.3000000,17.9670000,40.00, "STORA KARLSO(LGT-H)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025960,57.4170000,18.9170000,5.00, "HERRVIK" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-025990,57.0670000,18.2170000,5.00, "NASUDDEN" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-026040,56.6830000,12.8330000,30.00, "HALMSTAD (SWE-AFB)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-026140,55.6000000,12.8500000,10.00, "OSKARSGRUNDET" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-026151,55.5170000,12.9170000,2.00, "KLAGSHAMN (PORT)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-026170,55.3830000,13.0670000,8.00, "MAGLARP (AUT)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-026241,56.4330000,13.6000000,118.00, "MARKARYD" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-026391,55.4330000,13.8330000,34.00, "YSTAD" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-026531,55.9830000,14.3000000,12.00, "RINKABY" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-026541,55.6670000,14.2670000,112.00, "STENSHUVUD" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-026560,55.3830000,14.2000000,5.00, "SANDHAMMAREN(LGT-H)" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-026810,58.4830000,15.5170000,52.00, "VRETA KLOSTER" ,"  ",SW," ","WMO Resolution 40","     ",
221,AFWA-028651,65.5830000,25.1830000,5.00, "KUIVANIEMI" ,"  ",FI," ","WMO Resolution 40","     ",
221,AFWA-029021,64.3330000,23.4500000,4.00, "ULKOKALLA" ,"  ",FI," ","WMO Resolution 40","     ",
221,AFWA-029191,62.6830000,30.9500000,165.00, "ILOMANTSI" ,"  ",FI," ","WMO Resolution 40","     ",
221,AFWA-029431,61.4500000,23.7500000,92.00, "TAMPERE/HARMALA" ,"  ",FI," ","WMO Resolution 40","     ",
221,AFWA-029491,61.8000000,29.3170000,80.00, "PUNKAHARJU" ,"  ",FI," ","WMO Resolution 40","     ",
221,AFWA-029511,61.5830000,21.4830000,4.00, "MANTYLUOTO" ,"  ",FI," ","WMO Resolution 40","     ",
221,AFWA-029531,61.0000000,24.4500000,92.00, "HAMEENLINNA" ,"  ",FI," ","WMO Resolution 40","     ",
221,AFWA-029861,60.1000000,24.9170000,7.00, "KATAJALUOTO" ,"  ",FI," ","WMO Resolution 40","     ",
